param_name,pm_start_date,param_value,pm_end_date,pm_location,source
staff_hired_ct_count,3/1/21,45374,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,4/1/21,42095,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,5/1/21,33662,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,6/1/21,29628,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,7/1/21,23383,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,8/1/21,23967,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,9/1/21,25213,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,10/1/21,24437,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,11/1/21,22292,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,12/1/21,23997,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,11/1/20,867,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,12/1/20,1072,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,1/1/21,1011,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,2/1/21,977,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,3/1/21,819,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,4/1/21,778,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,5/1/21,622,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,6/1/21,498,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,7/1/21,487,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,8/1/21,539,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,9/1/21,570,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,10/1/21,568,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,11/1/21,560,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_per_hd_mean,12/1/21,634,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,11/1/20,856,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,12/1/20,1077,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,1/1/21,948,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,2/1/21,927,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,3/1/21,840,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,4/1/21,765,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,5/1/21,623,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,6/1/21,549,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,7/1/21,425,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,8/1/21,444,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,9/1/21,467,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,10/1/21,453,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,11/1/21,455,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_per_hd_mean,12/1/21,471,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,11/1/20,113,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,12/1/20,135,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,1/1/21,133,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,2/1/21,72,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,3/1/21,56,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,4/1/21,71,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,5/1/21,56,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,6/1/21,32,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,7/1/21,66,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,8/1/21,208,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,9/1/21,242,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,10/1/21,124,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,11/1/21,117,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_per_staff_month,12/1/21,266,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,11/1/20,114,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,12/1/20,104,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,1/1/21,91,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,2/1/21,77,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,3/1/21,58,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,4/1/21,78,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,5/1/21,64,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,6/1/21,34,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,7/1/21,52,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,8/1/21,108,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,9/1/21,110,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,10/1/21,85,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,11/1/21,67,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conacts_per_staff_month,12/1/21,98,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,11/1/20,3861466,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,12/1/20,6078802,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,1/1/21,6050877,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,2/1/21,3079448,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,3/1/21,1661864,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,4/1/21,2046549,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,5/1/21,1107656,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,6/1/21,444318,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,7/1/21,1241487,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,8/1/21,4046250,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,9/1/21,4363750,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,10/1/21,2266428,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,11/1/21,2163555,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_assigned_count,12/1/21,5897346,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,11/1/20,1859220,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,12/1/20,2573653,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,1/1/21,2681000,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,2/1/21,1553633,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,3/1/21,948154,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,4/1/21,1138136,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,5/1/21,615707,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,6/1/21,217527,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,7/1/21,526305,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,8/1/21,1265108,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,9/1/21,1318087,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,10/1/21,964733,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,11/1/21,922639,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_interviewed_count,12/1/21,1569451,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,11/1/20,971415,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,12/1/20,1214861,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,1/1/21,1189296,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,2/1/21,741557,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,3/1/21,431306,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,4/1/21,527953,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,5/1/21,301459,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,6/1/21,103606,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,7/1/21,219091,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,8/1/21,523605,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,9/1/21,527769,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,10/1/21,393275,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,11/1/21,383810,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
case_named_contact_count,12/1/21,585350,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,11/1/20,2935489,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,12/1/20,2816336,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,1/1/21,2304238,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,2/1/21,1654446,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,3/1/21,1169024,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,4/1/21,1439418,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,5/1/21,932612,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,6/1/21,271626,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,7/1/21,423420,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,8/1/21,1200506,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,9/1/21,1438075,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,10/1/21,1002462,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,11/1/21,944930,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
conact_named_count,12/1/21,1406794,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,11/1/20,1433604,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,12/1/20,1416703,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,1/1/21,1438461,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,2/1/21,1098438,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,3/1/21,783554,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,4/1/21,940863,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,5/1/21,597910,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,6/1/21,206171,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,7/1/21,285002,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,8/1/21,735357,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,9/1/21,838427,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,10/1/21,605614,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,11/1/21,498195,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_reached_count,12/1/21,754314,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,11/1/20,338605,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,12/1/20,473160,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,1/1/21,299196,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,2/1/21,216609,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,3/1/21,119798,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,4/1/21,128536,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,5/1/21,96158,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,6/1/21,31977,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,7/1/21,70464,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,8/1/21,176781,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,9/1/21,157856,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,10/1/21,122715,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,11/1/21,148126,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
cases_were_contacts_count,12/1/21,179402,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_tested_count,11/1/20,437285,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_tested_count,12/1/20,512570,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_tested_count,1/1/21,445689,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_tested_count,2/1/21,262967,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_tested_count,3/1/21,226052,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
contact_tested_count,4/1/21,263113,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
