"","param_value","pm_start_date","pm_end_date","pm_location","source","param_type","param_name","source_text","Desc","month_imputation_method"
"11",53,"08/01/2021","09/25/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"contacts_reached_perc","53%","Org contacted secondary case, but did not complete interview","translate"
"12",83,"08/01/2021","09/25/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"cases_interviewed_perc","83%","Org completed index case interview. Percentage is of total cases assigned.","translate"
"13",91,"11/25/2020","01/19/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"contacts_reached_perc","91%","Org contacted secondary case, but did not complete interview","translate"
"14",78,"09/26/2021","11/20/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"cases_interviewed_perc","78%","Org completed index case interview. Percentage is of total cases assigned.","translate"
"15",84,"11/25/2020","01/19/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"cases_interviewed_perc","84%","Org completed index case interview. Percentage is of total cases assigned.","translate"
"16",14106,"09/26/2021","11/20/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"cases_assigned_count","14,106","Initial set of possible cases assigned to org","spread_cases"
"17",6559,"11/25/2020","01/19/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"cases_assigned_count","6,559","Initial set of possible cases assigned to org","spread_cases"
"18",7901,"08/01/2021","09/25/2021","VT","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",NA,"cases_assigned_count","7,901","Initial set of possible cases assigned to org","spread_cases"
"19",1633,"04/13/2020","06/08/2020","San Francisco","Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",NA,"cases_assigned_count","1633 cases reported","Initial set of possible cases assigned to org","spread_cases"
"20",1394,"04/13/2020","06/08/2020","San Francisco","Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",NA,"cases_interviewed_count","1394 (85.4%) people were interviewed","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"21",1214,"04/13/2020","06/08/2020","San Francisco","Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",NA,"contacts_named_count","Among 1214 contacts traced","Amount of contacts named by case or perc who reported contacts","spread_cases"
"22",1017,"04/13/2020","06/08/2020","San Francisco","Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",NA,"contacts_reached_count","1017 (83.8%) were successfully notified","Org contacted secondary case, but did not complete interview","spread_cases"
"23",120,"04/13/2020","06/08/2020","San Francisco","Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",NA,"contacts_infected_count","120 (9.9%) were newly diagnosed with COVID-19","Secondary contact confirmed infected with covid","spread_cases"
"24",5.76,"06/01/2020","12/31/2021","New York","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.",NA,"contacts_reached_from_named_med","0.24 days for contact notification","Time to reach contact after a case named them","translate"
"25",89,"06/01/2020","12/31/2021","New York","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.",NA,"cases_reached_perc","Prior to the emergence of the Omicron variant, T2 program staff successfully contacted 89% of cases and all cases were notified of their infection status within a timely manner","Org contacted index case, but did not complete interview","translate"
"26",1450000,"06/01/2020","12/31/2021","New York","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.",NA,"cases_assigned_count","1.45 million cases","Initial set of possible cases assigned to org","spread_cases"
"27",108,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"cases_reached_from_test_med","to telephoning cases, 4 days (Q1–Q3: 3–5); and to case interview, 5 days","Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc","translate"
"28",1686,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"cases_assigned_count","1,705 COVID-19 cases reported to the NHHD during the evaluation period","Initial set of possible cases assigned to org","spread_cases"
"29",18,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"cases_not_assigned_count","18","Initial set of possible cases not assigned to org","spread_cases"
"30",959,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"cases_reached_count","133","Org contacted index case, but did not complete interview","spread_cases"
"31",826,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"cases_interviewed_count","826","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"32",227887,"03/15/2021","04/13/2021","state_a","Digital Point Solutions for Extending Contact Tracing Capacity.",NA,"monetary_cost","The original budget allocation for Epi Contacts was $250,000 with a final cost of $227,887. Cost of implementation for a jurisdiction is estimated at $90,000 with a monthly maintenance cost of $5000. Additional costs may be incurred for SMS message rates if a bundled SMS agreement or an unlimited data use agreement is not secured.","cost to public health budget This could also be cost per index case, cost per close contact, cost per interviewed case (to delineate the difference in cost when they were unsuccessful? re: HIV costing paper)","spread_even"
"33",18700,"03/15/2021","04/13/2021","state_a","Digital Point Solutions for Extending Contact Tracing Capacity.",NA,"contacts_named_count","approximately 18,700 contacts elicited.","Amount of contacts named by case or perc who reported contacts","spread_cases"
"34",21540,"03/15/2021","04/13/2021","state_a","Digital Point Solutions for Extending Contact Tracing Capacity.",NA,"cases_assigned_count","22.3% of cases (21,540) accessed","Initial set of possible cases assigned to org","spread_cases"
"35",21540,"03/15/2021","04/13/2021","state_a","Digital Point Solutions for Extending Contact Tracing Capacity.",NA,"num_users_count","22.3% of cases (21,540) accessed","Number of users for app at time period, type: min, max, avg, etc","translate"
"36",6000,"01/01/2021","07/31/2021","Members of large CA health care plan","Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.",NA,"contacts_named_count","6000 contacts were named,","Amount of contacts named by case or perc who reported contacts","spread_cases"
"37",3872,"01/01/2021","07/31/2021","Members of large CA health care plan","Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.",NA,"cases_not_assigned_count","3 263 records on coronavirus-infected persons were entered into the MARI database","Initial set of possible cases not assigned to org","spread_cases"
"38",9391,"01/01/2021","07/31/2021","Members of large CA health care plan","Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.",NA,"cases_assigned_count","9391 records (70.8%) met the eligibility criteria and were included in the study","Initial set of possible cases assigned to org","spread_cases"
"39",20000,"01/01/2021","07/31/2021","Members of large CA health care plan","Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.",NA,"hr_hours","Over the 7-month study period, CIs made more than 20 000 calls with a mean of 2.3 calls for each infected person","Human hours","spread_even"
"40",26817,"05/01/2020","09/30/2020","Fulton County","Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",NA,"cases_assigned_count","26 817","Initial set of possible cases assigned to org","spread_cases"
"41",12068,"05/01/2020","09/30/2020","Fulton County","Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",NA,"cases_interviewed_count","12 068","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"42",522,"08/17/2020","12/31/2020","New York City communities with higher than average COVID-19 incidence rates","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",NA,"contacts_infected_count","522 (29%) had a new positive result","Secondary contact confirmed infected with covid","spread_cases"
"43",0,"08/17/2020","12/31/2020","New York City communities with higher than average COVID-19 incidence rates","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",NA,"contacts_reached_from_named_med","The median interval from case investigation interview to contact notification was 0 days (IQR = 0).","Time to reach contact after a case named them","translate"
"44",11486,"08/17/2020","12/31/2020","New York City communities with higher than average COVID-19 incidence rates","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",NA,"contacts_named_count","11 486 contacts","Amount of contacts named by case or perc who reported contacts","spread_cases"
"45",11683,"08/17/2020","12/31/2020","New York City communities with higher than average COVID-19 incidence rates","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",NA,"cases_assigned_count","11 683 records of rapid-positive COVID-19 test results","Initial set of possible cases assigned to org","spread_cases"
"46",8878,"08/17/2020","12/31/2020","New York City communities with higher than average COVID-19 incidence rates","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",NA,"cases_interviewed_count","interviewed 8878","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"47",2437,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"contacts_named_count","Interviewed cases reported a total of 2,437 contacts","Amount of contacts named by case or perc who reported contacts","spread_cases"
"48",718,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"contacts_reached_count","31 (3.7%) answered but declined to participate, 12 (1.4%) were not reached due to language barriers","Org contacted secondary case, but did not complete interview","spread_cases"
"49",687,"04/04/2020","05/19/2020","New Haven","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.",NA,"contacts_interviewed_count","687 (82%) were successfully notified","Org completed secondary case interview","spread_cases"
"50",1957,"05/18/2020","08/17/2020","United States*","A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.","digital","contacts_named_count","1957 messages","Amount of contacts named by case or perc who reported contacts","spread_cases"
"51",1957,"05/18/2020","08/17/2020","United States*","A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.","digital","contacts_reached_count","1957 messages","Org contacted secondary case, but did not complete interview","spread_cases"
"52",498739,"06/15/2020","08/28/2021","Maryland","A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.","manual","cases_assigned_count","Of 498,739 cases pushed to the contact tracing data platform and eligible for investigation through Saturday, August 28, 2021","Initial set of possible cases assigned to org","spread_cases"
"53",394044,"06/15/2020","08/28/2021","Maryland","A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.","manual","cases_reached_count","79% were successfully reached","Org contacted index case, but did not complete interview","spread_cases"
"54",316363,"06/15/2020","08/28/2021","Maryland","A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.","manual","contacts_interviewed_count","in Maryland","Org completed secondary case interview","spread_cases"
"55",365641,"06/15/2020","08/28/2021","Maryland","A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.","manual","contacts_reached_count","tracing outcomes","Org contacted secondary case, but did not complete interview","spread_cases"
"56",352356,"06/15/2020","08/28/2021","Maryland","A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.","manual","cases_interviewed_count","71% completed an interview","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"57",962,"04/15/2020","04/24/2020","Kansas","A Survey of County Health Departments of Kansas Regarding COVID-19.","manual","staff_hired_count","Kansas 2,913,314 437 874 962","Number of reported staff hired.  Type can be a count, per population or per (daily?) incidence.","translate"
"58",63.2,"12/23/2020","12/28/2020","United States","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.","manual","cases_reached_perc","60 (63.2%)","Org contacted index case, but did not complete interview","translate"
"59",9762,"03/11/2020","05/25/2020","DE","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",NA,"cases_assigned_count","9,762 laboratory-confirmed COVID-19 cases","Initial set of possible cases assigned to org","spread_cases"
"60",6527,"03/11/2020","05/25/2020","DE","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",NA,"cases_interviewed_count","two thirds (6,527; 67%) of patients were interviewed","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"61",882,"03/11/2020","05/25/2020","DE","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",NA,"contacts_interviewed_count","882 (31%) were interviewed and among these contacts","Org completed secondary case interview","spread_cases"
"62",4,"03/11/2020","05/25/2020","DE","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",NA,"contacts_infected_count","Overall, 161 (18%) of the 882 contacts who were reached experienced symptoms during quarantine and were urged to be tested for SARS-CoV-2. A manual search of DERSS data determined that among 161 symptomatic contacts, 20 (12%) were tested, four of whom (3%) received a COVID-19 diagnosis","Secondary contact confirmed infected with covid","spread_cases"
"63",4600,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_assigned_count","4,600 (37%)","Initial set of possible cases assigned to org","spread_cases"
"64",2166,"10/01/2020","10/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_assigned_count","2,166 (13%)","Initial set of possible cases assigned to org","spread_cases"
"65",7921,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_not_assigned_count","12,521 cases of COVID19 during August 1–31","Initial set of possible cases not assigned to org","spread_cases"
"66",14102,"10/01/2020","10/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_not_assigned_count","16,269 during October 1–31, 2020","Initial set of possible cases not assigned to org","spread_cases"
"67",67.656,"04/15/2020","04/24/2020","Kansas","A Survey of County Health Departments of Kansas Regarding COVID-19.","manual","cases_positive_from_test_mean","How fast do you get the results of COVID-19 tests? 7  Same day 0 0.0  1 day 6 8.5  2 days 21 29.6  3 days 23 32.4  4 days 11 15.5  5 or more days 10 14.1","Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc","translate"
"68",76,"10/01/2020","10/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_interviewed_perc","October, 76% of individuals with COVID-19 participated in case interviews","Org completed index case interview. Percentage is of total cases assigned.","translate"
"69",65,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_interviewed_perc","65% of individuals with COVID-19 participated in case interviews","Org completed index case interview. Percentage is of total cases assigned.","translate"
"70",86,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"contacts_interviewed_perc","86","Org completed secondary case interview","translate"
"71",0,"10/01/2020","10/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"contacts_reached_from_named_mean","0–1 for October)","Time to reach contact after a case named them","translate"
"72",0,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"contacts_reached_from_named_mean","A median of 0 days","Time to reach contact after a case named them","translate"
"73",48,"10/01/2020","10/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_positive_from_test_med","days (IQR 1–2) for October","Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc","translate"
"74",48,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_positive_from_test_med","Specimen collection to when the positive result was received by the state department of health (hereafter referred to as “state notification of a positive result”) was 2 days","Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc","translate"
"75",168,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_reached_from_symptom_med","case symptom onset to contact interview was 7 days","Time from symptom to getting in touch with primary case, type can be added to specify med, mean, etc","translate"
"76",96,"08/01/2020","08/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_reached_from_test_med","Overall, the median duration from specimen collection to contact interview was 4 days (IQR 3–5) in August","Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc","translate"
"77",72,"10/01/2020","10/31/2020","WA","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",NA,"cases_reached_from_test_med","3 days (IQR 2–4) in October","Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc","translate"
"78",7116,"06/01/2020","06/30/2020","Mecklenburg","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"cases_assigned_count","7,116 (88%) were confirmed as new COVID-19 cases in county residents","Initial set of possible cases assigned to org","spread_cases"
"79",5514,"06/01/2020","06/30/2020","Mecklenburg","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"cases_interviewed_count","5,514 (77%) persons with positive test results were reached for case investigation","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"80",96,"06/01/2020","06/30/2020","Mecklenburg","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"cases_reached_from_test_med","median interval from specimen collection to case investigation was 4 days","Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc","translate"
"81",72,"06/15/2020","07/12/2020","Randolph County","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"contacts_reached_from_named_med","3 days","Time to reach contact after a case named them","translate"
"82",72,"06/15/2020","07/12/2020","Randolph County","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"cases_reached_from_test_med","median interval from specimen collection date to case investigation date was 3 days","Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc","translate"
"83",584,"06/15/2020","07/12/2020","Randolph County","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"cases_interviewed_count","584 (99%) were reached for case investigation","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"84",589,"06/15/2020","07/12/2020","Randolph County","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"cases_assigned_count","589 (83%) were confirmed as new COVID-19 cases","Initial set of possible cases assigned to org","spread_cases"
"85",9815,"06/01/2020","06/30/2020","Mecklenburg","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"contacts_interviewed_count","9,815 (73%) reported contacts were reached","Org completed secondary case interview","spread_cases"
"86",24,"06/01/2020","06/30/2020","Mecklenburg","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"contacts_reached_from_named_med","The median interval from case investigation to contact notification was 1 day","Time to reach contact after a case named them","translate"
"87",552,"06/15/2020","07/12/2020","Randolph County","COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",NA,"contacts_interviewed_count","552 (48%) reported contacts were reached","Org completed secondary case interview","spread_cases"
"88",43931,"06/01/2020","10/31/2020","across US","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","43,931 (59%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"89",2962,"06/01/2020","10/31/2020","loc_N","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","2,962 (33%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"90",10290,"06/01/2020","10/31/2020","loc_M","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","10,290 (47%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"91",5228,"06/01/2020","10/31/2020","loc_L","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","5,228 (49%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"92",7820,"06/01/2020","10/31/2020","loc_K","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","7,820 (74%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"93",369,"06/01/2020","10/31/2020","loc_J","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","369 (75%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"94",5514,"06/01/2020","10/31/2020","loc_I","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","5,514 (77%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"95",3961,"06/01/2020","10/31/2020","loc_H","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","3,961 (78%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"96",5823,"06/01/2020","10/31/2020","loc_G","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","5,823 (83%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"97",405,"06/01/2020","10/31/2020","loc_F","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","405 (85%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"98",655,"06/01/2020","10/31/2020","loc_E","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","655 (91%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"99",136,"06/01/2020","10/31/2020","loc_D","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","136 (99%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"100",144,"06/01/2020","10/31/2020","loc_C","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","144 (99%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"101",584,"06/01/2020","10/31/2020","loc_B","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","584 (99%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"102",40,"06/01/2020","10/31/2020","loc_A","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_interviewed_count","40 (100%)","Org completed index case interview. Percentage is of total cases assigned.","spread_cases"
"103",74185,"06/01/2020","10/31/2020","across US","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","74,185","Initial set of possible cases assigned to org","spread_cases"
"104",8987,"06/01/2020","10/31/2020","loc_N","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","8,987","Initial set of possible cases assigned to org","spread_cases"
"105",22032,"06/01/2020","10/31/2020","loc_M","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","22,032","Initial set of possible cases assigned to org","spread_cases"
"106",10563,"06/01/2020","10/31/2020","loc_K","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","10,563","Initial set of possible cases assigned to org","spread_cases"
"107",493,"06/01/2020","10/31/2020","loc_J","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","493","Initial set of possible cases assigned to org","spread_cases"
"108",7116,"06/01/2020","10/31/2020","loc_I","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","7,116","Initial set of possible cases assigned to org","spread_cases"
"109",5087,"06/01/2020","10/31/2020","loc_H","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","5,087","Initial set of possible cases assigned to org","spread_cases"
"110",7041,"06/01/2020","10/31/2020","loc_G","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","7,041","Initial set of possible cases assigned to org","spread_cases"
"111",479,"06/01/2020","10/31/2020","loc_F","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","479","Initial set of possible cases assigned to org","spread_cases"
"112",718,"06/01/2020","10/31/2020","loc_E","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","718","Initial set of possible cases assigned to org","spread_cases"
"113",137,"06/01/2020","10/31/2020","loc_D","COVID-19 Case Investigation and Contact Tracing in the US, 2020.",NA,"cases_assigned_count","137","Initial set of possible cases assigned to org","spread_cases"
