pm_start_date,pm_end_date,pm_location,source,param_name,Desc,param_type,month_imputation_method,param_value
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,581.7276176024277
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_reached_from_positive_med,"Time from the health department getting the positive test result to getting in touch with primary case. type can be added to specify med, mean, etc",NA,translate,192
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,2.0465351542741517
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_interviewed_count,Org completed secondary case interview,NA,spread_cases,451.2610015174505
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,1449.9701568032365
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_named_ratio_mean_cases_naming,The ratio of number of contacts named through case investigations over the number of cases interviewed that reported one or more contacts.  Means and medians are taken with respect to cases. ,NA,translate,2.5
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_reached_from_named_med,Time to reach contact after a case named them,NA,translate,48
04/01/2020,04/30/2020,Kansas,A Survey of County Health Departments of Kansas Regarding COVID-19.,cases_positive_from_test_mean,"Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc",manual,translate,67.656
04/01/2020,04/30/2020,Kansas,A Survey of County Health Departments of Kansas Regarding COVID-19.,cases_positive_from_test_med,"Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc",manual,translate,72
04/01/2020,04/30/2020,Kansas,A Survey of County Health Departments of Kansas Regarding COVID-19.,staff_hired_count,"Number of reported staff hired.  Type can be a count, per population or per (daily?) incidence.",manual,translate,962
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,1148.9048286604361
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,562.8679646936656
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,502.219963655244
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_not_assigned_count,Initial set of possible cases not assigned to org,NA,spread_cases,12.265887850467289
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_reached_count,"Org contacted index case, but did not complete interview",NA,spread_cases,653.4992471443406
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_reached_from_test_med,"Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc",NA,translate,108
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_interviewed_count,Org completed secondary case interview,NA,spread_cases,468.1480529595015
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,1660.6649273104879
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_named_ratio_med,The ratio of number of contacts named through case investigations over the number of cases interviewed.  Means and medians are taken with respect to cases. ,NA,translate,2
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_reached_count,"Org contacted secondary case, but did not complete interview",NA,spread_cases,489.27263759086185
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_reached_from_test_med,"Time from test (providing specimen) to getting in touch with contact. Type can be added to specify med, mean, etc",NA,translate,192
04/01/2020,04/30/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,percent_naming_contacts,Percent of interviewed contacts that named any number of contacts,NA,translate,89
04/01/2020,04/30/2020,Oak Ridge National Laboratory,Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.,cases_positive_from_test_mean,"Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc",manual,translate,13.68
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,70.8524079569829
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,manual,spread_cases,70.8524079569829
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_reached_from_test_med,"Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc",NA,translate,48
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,109.74421884641376
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,577.2160843886815
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_reached_count,"Org contacted secondary case, but did not complete interview",NA,spread_cases,503.2831369553079
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_reached_from_exposure_med,Time to reach contact after they were exposed,NA,translate,96
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",hr_hours,Human hours,NA,spread_even,367.3333333333333
04/01/2020,04/30/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",monetary_cost,"cost to public health budget This could also be cost per index case, cost per close contact, cost per interviewed case (to delineate the difference in cost when they were unsuccessful? re: HIV costing paper)",NA,spread_even,9744.666666666666
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,401.6059824913479
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,342.8283769705688
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,99.35628715646328
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_positive_from_test_med,"Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc",NA,translate,48
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_reached_from_positive_med,"Time from the health department getting the positive test result to getting in touch with primary case. type can be added to specify med, mean, etc",NA,translate,24
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_test_from_symptom_med,"Time from becoming symptomatic to  testing (providing specimen). Type can be added to specify med, mean, etc",manual,translate,72
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,29.511768462315825
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,298.56072427709506
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_reached_count,"Org contacted secondary case, but did not complete interview",NA,spread_cases,250.1122377181266
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_reached_from_named_med,Time to reach contact after a case named them,manual,translate,24
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_reached_from_test_med,"Time from test (providing specimen) to getting in touch with contact. Type can be added to specify med, mean, etc",NA,translate,144
04/01/2020,04/30/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_tested_count,Number of contacts who eventually tested.,NA,spread_cases,50.66186919364217
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,4327.042298937787
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,2893.116685634802
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,503.9794195751141
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_reached_from_positive_med,"Time from the health department getting the positive test result to getting in touch with primary case. type can be added to specify med, mean, etc",NA,translate,192
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,1.773014668689935
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_interviewed_count,Org completed secondary case interview,NA,spread_cases,390.94973444613066
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,1256.180892766819
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_named_ratio_mean_cases_naming,The ratio of number of contacts named through case investigations over the number of cases interviewed that reported one or more contacts.  Means and medians are taken with respect to cases. ,NA,translate,2.5
05/01/2020,05/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_reached_from_named_med,Time to reach contact after a case named them,NA,translate,48
05/01/2020,05/31/2020,Fulton County,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,1892.5751554438425
05/01/2020,05/31/2020,Fulton County,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,851.6835207478946
05/01/2020,05/31/2020,Fulton County,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,119.26956828504655
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,537.0951713395641
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,263.1320353063345
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,234.7800363447561
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_not_assigned_count,Initial set of possible cases not assigned to org,NA,spread_cases,5.734112149532713
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_reached_count,"Org contacted index case, but did not complete interview",NA,spread_cases,305.5007528556595
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,cases_reached_from_test_med,"Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc",NA,translate,108
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_interviewed_count,Org completed secondary case interview,NA,spread_cases,218.85194704049854
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,776.3350726895123
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_named_ratio_med,The ratio of number of contacts named through case investigations over the number of cases interviewed.  Means and medians are taken with respect to cases. ,NA,translate,2
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_reached_count,"Org contacted secondary case, but did not complete interview",NA,spread_cases,228.72736240913824
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,contacts_reached_from_test_med,"Time from test (providing specimen) to getting in touch with contact. Type can be added to specify med, mean, etc",NA,translate,192
05/01/2020,05/31/2020,New Haven,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,percent_naming_contacts,Percent of interviewed contacts that named any number of contacts,NA,translate,89
05/01/2020,05/31/2020,Oak Ridge National Laboratory,Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.,cases_positive_from_test_mean,"Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc",manual,translate,13.68
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,96.31169747010257
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,manual,spread_cases,96.31169747010257
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_reached_from_test_med,"Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc",NA,translate,48
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,149.1784444509741
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,784.6262744982812
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_reached_count,"Org contacted secondary case, but did not complete interview",NA,spread_cases,684.1271119207829
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_reached_from_exposure_med,Time to reach contact after they were exposed,NA,translate,96
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",hr_hours,Human hours,NA,spread_even,367.3333333333333
05/01/2020,05/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",monetary_cost,"cost to public health budget This could also be cost per index case, cost per close contact, cost per interviewed case (to delineate the difference in cost when they were unsuccessful? re: HIV costing paper)",NA,spread_even,9744.666666666666
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,915.2061109904446
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,781.2598400004163
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,226.41963799151233
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_positive_from_test_med,"Time from providing specimen to getting in a positive result type can be added to specify med, mean, etc",NA,translate,48
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_reached_from_positive_med,"Time from the health department getting the positive test result to getting in touch with primary case. type can be added to specify med, mean, etc",NA,translate,24
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",cases_test_from_symptom_med,"Time from becoming symptomatic to  testing (providing specimen). Type can be added to specify med, mean, etc",manual,translate,72
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,67.25335781926108
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,680.3798032715247
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_reached_count,"Org contacted secondary case, but did not complete interview",NA,spread_cases,569.9722075182377
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_reached_from_named_med,Time to reach contact after a case named them,manual,translate,24
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_reached_from_test_med,"Time from test (providing specimen) to getting in touch with contact. Type can be added to specify med, mean, etc",NA,translate,144
05/01/2020,05/31/2020,San Francisco,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",contacts_tested_count,Number of contacts who eventually tested.,NA,spread_cases,115.45159758973153
05/01/2020,05/31/2020,United States*,A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.,contacts_named_count,Amount of contacts named by case or perc who reported contacts,digital,spread_cases,147.37296581073738
05/01/2020,05/31/2020,United States*,A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.,contacts_named_ratio_mean_cases_naming,The ratio of number of contacts named through case investigations over the number of cases interviewed that reported one or more contacts.  Means and medians are taken with respect to cases. ,digital,translate,1.33
05/01/2020,05/31/2020,United States*,A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.,contacts_reached_count,"Org contacted secondary case, but did not complete interview",digital,spread_cases,147.37296581073738
06/01/2020,06/30/2020,Fulton County,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,3225.8501771251335
06/01/2020,06/30/2020,Fulton County,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,1451.6746816402324
06/01/2020,06/30/2020,Fulton County,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,203.29219522472596
06/01/2020,06/30/2020,Maricopa,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.",cases_reached_from_positive_med,"Time from the health department getting the positive test result to getting in touch with primary case. type can be added to specify med, mean, etc",NA,translate,264
06/01/2020,06/30/2020,Maryland,A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.,cases_assigned_count,Initial set of possible cases assigned to org,manual,spread_cases,7009.87994966562
06/01/2020,06/30/2020,Maryland,A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.,cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,manual,spread_cases,4952.436564103427
