,source,pm_start_date,pm_end_date,Parameter estimations,adoption_rate,case_interviewed_count,case_interviewed_perc,case_interviewed_total,case_named_contact_count,case_positive_from_test_mean,case_positive_from_test_med,case_positive_from_test_median,case_reached_count,case_reached_from_symptom_med,case_reached_from_test_avg,case_reached_from_test_med,case_reached_from_test_total,case_reached_perc,case_test_to_result_mean,cases_assigned_count,cases_assigned_total,cases_not_assigned_count,cases_reached_count,cases_reached_perc,cases_reached_total,cases_reported_total,contact_assigned_count,contact_infected_count,contact_infected_perc,contact_interviewed_count,contact_interviewed_perc,contact_named_count,contact_named_count_mean,contact_named_household_count,contact_named_household_perc,contact_named_household_ratio,contact_named_med,contact_named_perc,contact_named_ratio,contact_reached_count,contact_reached_from_named,contact_reached_from_named_mean,contact_reached_from_named_med,contact_reached_from_named_total,contact_reached_from_pos_mean,contact_reached_from_test_med,contact_reached_perc,contact_test_pos_rate,contact_tested_count,contact_time_from_symptom,contact_time_from_test,hr_cost,hr_hours,infections_prevented,lowest_est,manual_digital,monetary_cost,notifications_sent_count,notifications_sent_mean_per_contact,notifications_sent_total,notifications_sent_total_weekly,num_users_total,parameter inference,participation_percentage,positive_cases,primary_interview_completed,reporting_any_contacts_count,staff_hired_count,staff_hired_per_10kpop,state a
10,An Academic-Health Department Community Partnership to Expand Disease Investigation and Contact Tracing Capacity and Efficiency During the COVID-19  Pandemic.,12/1/20,12/31/20,,,,,,,,,,,,,,,,,,,,,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Assessing Testing Strategies and Duration of Quarantine in Contact Tracing for SARS-CoV-2: A Retrospective Study of San Francisco's COVID-19 Contact Tracing  Program, June-August 2020.",6/8/20,8/31/20,,,,,,2506.0,,,,,,,,,,,,,,,,,,,880.0,,,,6946.0,,,,,,,,,,,,,,,,,3008.0,,,,,,,,,,,,,,,,,,,,,
12,Assessment of a COVID-19 Control Plan on an Urban University Campus During a Second Wave of the Pandemic.,12/1/20,12/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
13,Assessment of a COVID-19 Control Plan on an Urban University Campus During a Second Wave of the Pandemic.,12/20/20,1/31/21,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,2.44,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
14,Assessment of a COVID-19 Control Plan on an Urban University Campus During a Second Wave of the Pandemic.,9/1/20,9/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Automated Digital Notification of COVID-19 Diagnoses Through Text and Email Messaging - North Carolina, December 2020-January 2021.",1/1/21,1/31/21,,,,,,,,,,121875.0,,,,,,,121875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.,4/1/20,1/8/21,,,,,,,,,,,,,,,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"COVID-19 Case Investigation and Contact Tracing Efforts from Health Departments - United States, June 25-July 24, 2020.",5/25/20,7/24/20,,,,,,,,,,,,,,,,,280033.0,,,,,,,,,,,,95775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"COVID-19 Case Investigation and Contact Tracing in Central Washington State, June-July 2020.",6/15/20,7/12/20,,,,71.0,,,,,,3994.0,,,,,,,4987.0,,,,,,,,,,1941.0,85.0,2293.0,,1799.0,,1.9,,27.0,2.4,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.",5/1/20,10/31/21,,,711379.0,,,,,,,840922.0,4.7,,2.6,,,,941035.0,,,,,,,,,,590364.0,,1218650.0,,,,,,421544.0,1.4,904927.0,,0.2,,,,,,,,,,,,,,,600000000.0,,,,,,,,,,,,,
20,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",5/1/20,10/31/20,,,43931.0,,,,,,,,,,,,,,74185.0,,,,,,,,,,,,2848.0,,,,,,87.0,,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",10/1/20,10/31/20,,,,76.0,,,,,,,,,72.0,,,,2166.0,,14102.0,,,,,,,,,,2218.0,,,74.0,,,33.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",8/1/20,8/31/20,,,,65.0,,,,48.0,,,168.0,,,,,,,,7921.0,,,,,,,,,86.0,2589.0,,,80.0,,,,2.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",6/1/20,6/30/20,,,5514.0,,,,,,,,,,96.0,,,,7116.0,,,,,,,,,,9815.0,,13401.0,,,,,,52.0,4.6,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",6/15/20,7/12/20,,,584.0,,,,,,,,,,72.0,,,,589.0,,,,,,,,,,552.0,,1146.0,,,,,,,3.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Centering Health Equity Within COVID-19 Contact Tracing: Connecticut's Community Outreach Specialist Program.,3/23/21,5/31/21,,,,,,,,,,,,,,,,,43116.0,,,24973.0,,,,12198.0,,,,,,,,,,,,,7949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Community-Based Workforce for COVID-19 Contact Tracing and Prevention Activities in New York City, July-December 2020.",7/9/20,12/31/20,,,55592.0,,,,,,,84230.0,,,,,,,94704.0,,,,,,,61246.0,,,,,,,,,,,,,49303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Contact tracing reveals community transmission of COVID-19 in New York City.,10/1/20,5/10/21,,,,,,,,,,644029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,
28,Contact tracing: Characteristics of COVID-19 cases that provided contacts.,2/1/21,11/30/21,,,550850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",3/1/20,5/31/20,,,,,,,,,,48.0,168.0,,48.0,,,,184.0,,,,,,,,374.0,,,,1499.0,,,,,,,,,,,0.0,,,,,,,,,,1102.0,,,,29234.0,,,,,,,,,,,,,
30,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",3/11/20,5/25/20,,,6527.0,,,,,,,,,,192.0,,,,9762.0,,,,,,,,4.0,,882.0,,2834.0,,,,,,17.0,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).,12/10/20,7/1/21,112.8,29.0,,,,,,,,,,112.8,,,,,446643.0,,,68107.0,,,,,,,,,110497.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1654201.0,,10910971.0,,,,,,,,
32,Digital Point Solutions for Extending Contact Tracing Capacity.,3/15/21,4/13/21,,,,,,,,,,,,,,,,,21540.0,,,,,,,,,,,,18700.0,,,,,,44.0,,,,,,,,,,,,,,,,,,,227887.0,,,,,21540.0,44.0,,,,,,,227887.0
33,Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.,1/1/21,7/31/21,,,,65.6,,,,,,,,,35.3,,,,9391.0,,3872.0,,,,,,,,,,,,4188.0,,,,36.7,0.97,,,,,,,,,,,,,,20000.0,,,,,,,,,,36.7,,,,,,,
34,Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.,8/1/20,6/12/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,,
35,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",5/1/20,9/30/20,,,12068.0,,,,,,,,,,,,,,26817.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",8/17/20,12/31/20,,,8878.0,,,,,,,,,,0.0,,,,11683.0,,,,,,,,522.0,,,,11486.0,,7573.0,,,,62.0,1.24,5102.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,4/4/20,5/19/20,,,826.0,,,,,,,,,,108.0,,,,1686.0,,18.0,959.0,,,,,,,687.0,,2437.0,,,,,2.0,89.0,,718.0,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.,6/1/20,12/2/21,,,,,,,,,,,,,,,89.0,,1450000.0,,,,,,,,,,,,540000.0,,,,,,38.0,,,,,5.76,,,,,,,,,2500.0,,,,,,,,,,,,,,,,,,
39,Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.,6/1/20,12/31/21,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",4/13/20,6/8/20,,,1394.0,,,,,,,,144.0,,24.0,,,,1633.0,,,,,,,,120.0,9.1,,,1214.0,,,,,,51.1,,1017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",11/25/20,1/19/21,,,,84.0,,,,,,,,,48.0,24.0,,,6559.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,
42,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",8/1/21,9/25/21,,,,83.0,,,,,,,,,72.0,72.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,
43,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",9/26/21,11/20/21,,,,78.0,,,,,,,,,48.0,24.0,,,14106.0,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,
44,Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.,11/15/20,3/15/21,,51.0,,,,,,,,,,,,,,,,76936.0,,,,76936.0,,,,,,,,,,,,,,7.9,,,,,742336.0,,,,,,,,,,5500.0,,,,,,902824.0,,3000000.0,,,,,,,,
45,Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.,11/15/20,3/15/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.",12/27/20,2/1/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445000.0,,445000.0,,,,,,,,,,,,,,,
47,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.",12/27/20,4/24/21,,,24450.0,,,,,,,37422.0,,,120.0,,,,67882.0,,,,,,,,,,,,34083.0,,,,,,,,22240.0,,,24.0,,,,,,,,,,,,,,,,,64011.0,,,,,,,,,,
48,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.",6/15/20,6/29/20,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.",6/30/20,7/30/20,,,,,,,,,,,,,,,,,58570.0,,,,94.0,55056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,,,,
50,WA Notify: the planning and implementation of a Bluetooth exposure notification tool for COVID-19 pandemic response in Washington State.,11/19/20,11/30/20,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
51,WA Notify: the planning and implementation of a Bluetooth exposure notification tool for COVID-19 pandemic response in Washington State.,11/2/20,11/30/20,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.0,,,,,,,,
52,WA Notify: the planning and implementation of a Bluetooth exposure notification tool for COVID-19 pandemic response in Washington State.,11/30/20,12/7/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,
53,WA Notify: the planning and implementation of a Bluetooth exposure notification tool for COVID-19 pandemic response in Washington State.,11/30/20,4/2/20,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,
54,WA Notify: the planning and implementation of a Bluetooth exposure notification tool for COVID-19 pandemic response in Washington State.,12/30/20,4/2/20,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,,,,,,,,,
