"periods","param_value","pm_start_date","metric","source","param_name","hd_summary","impt_type","df_type","nrows","pm_location","date","cases_interviewed","contacts_interviewed","digital","comb_loc_date","impt_type_alpha","count","impt_median","impt_count","metric_color","month_year","incl"
"B",40.8,2021-09-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-09-01,1318087,550094.426071411,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,922639,FALSE,"mean",2021-09-01,1
"C",40.8,2021-09-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-09-01,1318087,550094.426071411,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,922639,FALSE,"mean",2021-09-01,1
"B",48,2021-09-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-09-01,1318087,550094.426071411,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,120988.5,FALSE,"med",2021-09-01,1
"C",24,2021-09-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-09-01,1318087,550094.426071411,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,120988.5,FALSE,"med",2021-09-01,1
"D",24,2021-09-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA,"Philadelphia",2021-09-01,4537,1234,"manual","(manual) Philadelphia, 2021-09-01",0,1234,186990.652280048,FALSE,"med",2021-09-01,1
"B",24.1714887778498,2021-09-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA,"Philadelphia",2021-09-01,4537,1234,"manual","(manual) Philadelphia, 2021-09-01",0.1,4537,120988.5,FALSE,"med",2021-09-01,1
"C",23.8285112221502,2021-09-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA,"Philadelphia",2021-09-01,4537,1234,"manual","(manual) Philadelphia, 2021-09-01",0.1,4537,120988.5,FALSE,"med",2021-09-01,1
"A",70.7939581800894,2021-09-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Philadelphia",2021-09-01,4537,1234,"manual","(manual) Philadelphia, 2021-09-01",0.1,4537,922639,FALSE,"mean",2021-09-01,1
"B",46.9360165391201,2021-09-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Philadelphia",2021-09-01,4537,1234,"manual","(manual) Philadelphia, 2021-09-01",0.1,4537,922639,FALSE,"mean",2021-09-01,1
"C",46.2700252807905,2021-09-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Philadelphia",2021-09-01,4537,1234,"manual","(manual) Philadelphia, 2021-09-01",0.1,4537,922639,FALSE,"mean",2021-09-01,1
"B",38.4,2021-08-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-08-01,1265108,482469.89525933,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,922639,FALSE,"mean",2021-08-01,1
"C",40.8,2021-08-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-08-01,1265108,482469.89525933,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,922639,FALSE,"mean",2021-08-01,1
"B",24,2021-08-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-08-01,1265108,482469.89525933,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,120988.5,FALSE,"med",2021-08-01,1
"C",24,2021-08-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-08-01,1265108,482469.89525933,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,120988.5,FALSE,"med",2021-08-01,1
"B",48,2021-08-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med","no","reported","outer_abs",NA,"VT",2021-08-01,6558,NA,"manual","(manual) VT, 2021-08-01",0,6558,120988.5,FALSE,"med",2021-08-01,1
"D",24,2021-08-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA,"VT",2021-08-01,6558,NA,"manual","(manual) VT, 2021-08-01",0,186990.652280048,186990.652280048,TRUE,"imputed",2021-08-01,0
"C",24,2021-08-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","reported","outer_abs",NA,"VT",2021-08-01,6558,NA,"manual","(manual) VT, 2021-08-01",0,6558,120988.5,FALSE,"med",2021-08-01,1
"B",33.6,2021-07-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-07-01,526305,186990.652280048,"manual","(manual) 64 HD accross US and collonies, 2021-07-01",0,526305,922639,FALSE,"mean",2021-07-01,1
"C",31.2,2021-07-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-07-01,526305,186990.652280048,"manual","(manual) 64 HD accross US and collonies, 2021-07-01",0,526305,922639,FALSE,"mean",2021-07-01,1
"B",24,2021-07-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-07-01,526305,186990.652280048,"manual","(manual) 64 HD accross US and collonies, 2021-07-01",0,526305,120988.5,FALSE,"med",2021-07-01,1
"C",24,2021-07-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-07-01,526305,186990.652280048,"manual","(manual) 64 HD accross US and collonies, 2021-07-01",0,526305,120988.5,FALSE,"med",2021-07-01,1
"A",67.3405943664265,2021-07-01,"mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Alaska",2021-07-01,NA,NA,"manual","(manual) Alaska, 2021-07-01",0.1,922639,922639,TRUE,"imputed",2021-07-01,0
"B",44.646454756724,2021-07-01,"mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Alaska",2021-07-01,NA,NA,"manual","(manual) Alaska, 2021-07-01",0.1,922639,922639,TRUE,"imputed",2021-07-01,0
"C",44.0129508768495,2021-07-01,"mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Alaska",2021-07-01,NA,NA,"manual","(manual) Alaska, 2021-07-01",0.1,922639,922639,TRUE,"imputed",2021-07-01,0
"D",24,2021-06-23,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA,"Philadelphia",2021-06-23,3172,883,"manual","(manual) Philadelphia, 2021-06-23",0,883,186990.652280048,FALSE,"med",2021-06-01,1
"B",36.2572331667747,2021-06-23,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA,"Philadelphia",2021-06-23,3172,883,"manual","(manual) Philadelphia, 2021-06-23",0.1,3172,120988.5,FALSE,"med",2021-06-01,1
"C",35.7427668332253,2021-06-23,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA,"Philadelphia",2021-06-23,3172,883,"manual","(manual) Philadelphia, 2021-06-23",0.1,3172,120988.5,FALSE,"med",2021-06-01,1
"A",82.8807315279095,2021-06-23,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Philadelphia",2021-06-23,3172,883,"manual","(manual) Philadelphia, 2021-06-23",0.1,3172,922639,FALSE,"mean",2021-06-01,1
"B",54.9494827775065,2021-06-23,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Philadelphia",2021-06-23,3172,883,"manual","(manual) Philadelphia, 2021-06-23",0.1,3172,922639,FALSE,"mean",2021-06-01,1
"C",54.169785694584,2021-06-23,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Philadelphia",2021-06-23,3172,883,"manual","(manual) Philadelphia, 2021-06-23",0.1,3172,922639,FALSE,"mean",2021-06-01,1
"B",33.6,2021-06-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-06-01,217527,135269.400815538,"manual","(manual) 64 HD accross US and collonies, 2021-06-01",0,217527,922639,FALSE,"mean",2021-06-01,1
"C",26.4,2021-06-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-06-01,217527,135269.400815538,"manual","(manual) 64 HD accross US and collonies, 2021-06-01",0,217527,922639,FALSE,"mean",2021-06-01,1
"B",24,2021-06-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-06-01,217527,135269.400815538,"manual","(manual) 64 HD accross US and collonies, 2021-06-01",0,217527,120988.5,FALSE,"med",2021-06-01,1
"C",24,2021-06-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-06-01,217527,135269.400815538,"manual","(manual) 64 HD accross US and collonies, 2021-06-01",0,217527,120988.5,FALSE,"med",2021-06-01,1
"B",38.4,2021-05-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-05-01,615707,392290.513416621,"manual","(manual) 64 HD accross US and collonies, 2021-05-01",0,615707,922639,FALSE,"mean",2021-05-01,1
"C",26.4,2021-05-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-05-01,615707,392290.513416621,"manual","(manual) 64 HD accross US and collonies, 2021-05-01",0,615707,922639,FALSE,"mean",2021-05-01,1
"B",24,2021-05-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-05-01,615707,392290.513416621,"manual","(manual) 64 HD accross US and collonies, 2021-05-01",0,615707,120988.5,FALSE,"med",2021-05-01,1
"C",24,2021-05-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-05-01,615707,392290.513416621,"manual","(manual) 64 HD accross US and collonies, 2021-05-01",0,615707,120988.5,FALSE,"med",2021-05-01,1
"B",38.4,2021-04-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-04-01,1138136,617302.987614695,"manual","(manual) 64 HD accross US and collonies, 2021-04-01",0,1138136,922639,FALSE,"mean",2021-04-01,1
"C",31.2,2021-04-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-04-01,1138136,617302.987614695,"manual","(manual) 64 HD accross US and collonies, 2021-04-01",0,1138136,922639,FALSE,"mean",2021-04-01,1
"B",24,2021-04-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-04-01,1138136,617302.987614695,"manual","(manual) 64 HD accross US and collonies, 2021-04-01",0,1138136,120988.5,FALSE,"med",2021-04-01,1
"C",24,2021-04-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-04-01,1138136,617302.987614695,"manual","(manual) 64 HD accross US and collonies, 2021-04-01",0,1138136,120988.5,FALSE,"med",2021-04-01,1
"B",38.4,2021-03-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-03-01,948154,514092.089026186,"manual","(manual) 64 HD accross US and collonies, 2021-03-01",0,948154,922639,FALSE,"mean",2021-03-01,1
"C",26.4,2021-03-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-03-01,948154,514092.089026186,"manual","(manual) 64 HD accross US and collonies, 2021-03-01",0,948154,922639,FALSE,"mean",2021-03-01,1
"D",24,2021-03-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_contacts_reached_from_named_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-03-01,948154,514092.089026186,"manual","(manual) 64 HD accross US and collonies, 2021-03-01",0,514092.089026186,394817.821970887,FALSE,"mean",2021-03-01,1
"B",24,2021-03-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-03-01,948154,514092.089026186,"manual","(manual) 64 HD accross US and collonies, 2021-03-01",0,948154,120988.5,FALSE,"med",2021-03-01,1
"C",24,2021-03-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-03-01,948154,514092.089026186,"manual","(manual) 64 HD accross US and collonies, 2021-03-01",0,948154,120988.5,FALSE,"med",2021-03-01,1
"A",74.5926583751185,2021-03-01,"mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Alaska",2021-03-01,NA,NA,"manual","(manual) Alaska, 2021-03-01",0.1,922639,922639,TRUE,"imputed",2021-03-01,0
"B",49.4545344997558,2021-03-01,"mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Alaska",2021-03-01,NA,NA,"manual","(manual) Alaska, 2021-03-01",0.1,922639,922639,TRUE,"imputed",2021-03-01,0
"C",48.7528071251256,2021-03-01,"mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA,"Alaska",2021-03-01,NA,NA,"manual","(manual) Alaska, 2021-03-01",0.1,922639,922639,TRUE,"imputed",2021-03-01,0
"B",38.4,2021-02-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-02-01,1553633,720688.409587273,"manual","(manual) 64 HD accross US and collonies, 2021-02-01",0,1553633,922639,FALSE,"mean",2021-02-01,1
"C",28.8,2021-02-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-02-01,1553633,720688.409587273,"manual","(manual) 64 HD accross US and collonies, 2021-02-01",0,1553633,922639,FALSE,"mean",2021-02-01,1
"D",48,2021-02-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_contacts_reached_from_named_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-02-01,1553633,720688.409587273,"manual","(manual) 64 HD accross US and collonies, 2021-02-01",0,720688.409587273,394817.821970887,FALSE,"mean",2021-02-01,1
"B",38.4,2021-02-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-02-01,1553633,720688.409587273,"manual","(manual) 64 HD accross US and collonies, 2021-02-01",0,1553633,120988.5,FALSE,"med",2021-02-01,1
"C",24,2021-02-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-02-01,1553633,720688.409587273,"manual","(manual) 64 HD accross US and collonies, 2021-02-01",0,1553633,120988.5,FALSE,"med",2021-02-01,1
"B",52.8,2021-01-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-01-01,2681000,943778.502148795,"manual","(manual) 64 HD accross US and collonies, 2021-01-01",0,2681000,922639,FALSE,"mean",2021-01-01,1
