"month_year","metric","periods","num_sources","overall_count","inclusive_ave","exclusive_ave","count"
2021-01-01,"med","B",1,2681000,48,48,2681000
2021-02-01,"mean","D",1,720688.409587273,48,48,720688.409587273
2021-02-01,"mean","C",1,1553633,28.8,28.8,1553633
2021-02-01,"mean","B",1,1553633,38.4,38.4,1553633
2021-02-01,"med","C",1,1553633,24,24,1553633
2021-02-01,"med","B",1,1553633,38.4,38.4,1553633
2021-03-01,"mean","D",1,514092.089026186,24,24,514092.089026186
2021-03-01,"mean","C",2,1870793,37.4239730494602,26.4,1870793
2021-03-01,"mean","B",2,1870793,43.851883055111,38.4,1870793
2021-03-01,"mean","A",1,922639,74.5926583751185,NA,922639
2021-03-01,"med","C",1,948154,24,24,948154
2021-03-01,"med","B",1,948154,24,24,948154
2021-04-01,"mean","C",1,1138136,31.2,31.2,1138136
2021-04-01,"mean","B",1,1138136,38.4,38.4,1138136
2021-04-01,"med","C",1,1138136,24,24,1138136
2021-04-01,"med","B",1,1138136,24,24,1138136
2021-05-01,"mean","C",1,615707,26.4,26.4,615707
2021-05-01,"mean","B",1,615707,38.4,38.4,615707
2021-05-01,"med","C",1,615707,24,24,615707
2021-05-01,"med","B",1,615707,24,24,615707
2021-06-01,"mean","C",2,220699,26.799121700702,26.799121700702,220699
2021-06-01,"mean","B",2,220699,33.906845791645,33.906845791645,220699
2021-06-01,"mean","A",1,3172,82.8807315279095,82.8807315279095,3172
2021-06-01,"med","D",1,883,24,24,883
2021-06-01,"med","C",2,220699,24.1687731090535,24.1687731090535,220699
2021-06-01,"med","B",2,220699,24.1761672848767,24.1761672848767,220699
2021-07-01,"mean","C",2,1448944,39.3588578882728,31.2,1448944
2021-07-01,"mean","B",2,1448944,40.63401233608,33.6,1448944
2021-07-01,"mean","A",1,922639,67.3405943664265,NA,922639
2021-07-01,"med","C",1,526305,24,24,526305
2021-07-01,"med","B",1,526305,24,24,526305
2021-08-01,"mean","C",1,1265108,40.8,40.8,1265108
2021-08-01,"mean","B",1,1265108,38.4,38.4,1265108
2021-08-01,"med","D",1,186990.652280048,24,NA,186990.652280048
2021-08-01,"med","C",2,1271666,24.0605576188184,24.0605576188184,1271666
2021-08-01,"med","B",2,1271666,24.0632107291598,24.0632107291598,1271666
2021-09-01,"mean","C",2,1322624,40.8187638396846,40.8187638396846,1322624
2021-09-01,"mean","B",2,1322624,40.8210483909546,40.8210483909546,1322624
2021-09-01,"mean","A",1,4537,70.7939581800894,70.7939581800894,4537
2021-09-01,"med","D",2,188224.652280048,0.157343895399717,24,188224.652280048
2021-09-01,"med","C",3,1333627,23.9980017384113,23.9980017384113,1333627
2021-09-01,"med","B",3,1333627,47.7223398563525,47.7223398563525,1333627
2021-10-01,"mean","C",1,964733,36,36,964733
2021-10-01,"mean","B",1,964733,40.8,40.8,964733
2021-10-01,"med","C",1,964733,24,24,964733
2021-10-01,"med","B",1,964733,43.2,43.2,964733
2021-11-01,"mean","C",1,922639,38.4,38.4,922639
2021-11-01,"mean","B",1,922639,33.6,33.6,922639
2021-11-01,"med","C",1,922639,24,24,922639
2021-11-01,"med","B",1,922639,24,24,922639
2021-12-01,"mean","C",1,1569451,45.6,45.6,1569451
2021-12-01,"mean","B",1,1569451,36,36,1569451
2021-12-01,"med","C",1,1569451,24,24,1569451
2021-12-01,"med","B",1,1569451,24,24,1569451
