"periods","param_value","pm_start_date","metric","source","param_name","hd_summary","impt_type","df_type","nrows"
"D",0,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med","no","reported","inner",NA
"C",0,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","reported","inner",NA
"A",29.9617992334877,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med",NA,"outer_perc","outer_perc",NA
"B",48,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med",NA,"reported","outer_perc",NA
"C",0,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med",NA,"reported","outer_perc",NA
"D",0,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med",NA,"reported","outer_perc",NA
"B",48,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med","no","reported","outer_abs",NA
"D",0,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA
"C",0,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","reported","outer_abs",NA
"A",67.0203007518797,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","outer_abs","outer_abs",NA
"BC",48,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_test_med",NA,"original","original",NA
"B",48,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med",NA,"original","original",NA
"BCD",48,"09/26/2021","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_test_med",NA,"original","original",NA
"B",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med","no","overlap_remove","removed_overlap",NA
"D",0,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med","no","overlap_remove","removed_overlap",NA
"C",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","overlap_remove","removed_overlap",NA
"B",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med","no","reported","inner",NA
"D",0,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med","no","reported","inner",NA
"C",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","reported","inner",NA
"A",29.9617992334877,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med",NA,"outer_perc","outer_perc",NA
"B",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med",NA,"reported","outer_perc",NA
"C",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med",NA,"reported","outer_perc",NA
"D",0,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med",NA,"reported","outer_perc",NA
"B",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med","no","reported","outer_abs",NA
"D",0,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA
"C",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","reported","outer_abs",NA
"A",67.0203007518797,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","outer_abs","outer_abs",NA
"BC",48,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_test_med",NA,"original","original",NA
"B",24,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med",NA,"original","original",NA
"BCD",48,"11/25/2020","med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_test_med",NA,"original","original",NA
"D",5.76,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","contacts_reached_from_named_med",NA,"overlap_remove","removed_overlap",NA
"B",24,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_positive_from_test_med",NA,"overlap_remove","removed_overlap",NA
"C",48,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_reached_from_positive_med",NA,"overlap_remove","removed_overlap",NA
"D",5.76,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","contacts_reached_from_named_med",NA,"reported","inner",NA
"B",24,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_positive_from_test_med",NA,"reported","inner",NA
"C",48,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_reached_from_positive_med",NA,"reported","inner",NA
"A",48.53811475825,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_positive_from_test_med",NA,"outer_perc","outer_perc",NA
"B",24,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_positive_from_test_med",NA,"reported","outer_perc",NA
"C",48,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_reached_from_positive_med",NA,"reported","outer_perc",NA
"D",5.76,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","contacts_reached_from_named_med",NA,"reported","outer_perc",NA
"D",5.76,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","contacts_reached_from_named_med",NA,"reported","outer_abs",NA
"B",24,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_positive_from_test_med",NA,"reported","outer_abs",NA
"C",48,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_reached_from_positive_med",NA,"reported","outer_abs",NA
"A",67.0203007518797,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_reached_from_positive_med",NA,"outer_abs","outer_abs",NA
"D",5.76,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","contacts_reached_from_named_med",NA,"original","original",NA
"B",24,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_positive_from_test_med",NA,"original","original",NA
"C",48,"06/01/2020","med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","cases_reached_from_positive_med",NA,"original","original",NA
"BC",108,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med","no","overlap_remove","removed_overlap",NA
"D",24,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","contacts_reached_from_named_med","no","overlap_remove","removed_overlap",NA
"D",24,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","contacts_reached_from_named_med","no","reported","inner",NA
"B",54.385849750162,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med","no","inner","inner",NA
"C",53.614150249838,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med","no","inner","inner",NA
"A",82.394947892091,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med",NA,"outer_perc","outer_perc",NA
"B",54.385849750162,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med",NA,"inner","outer_perc",NA
"C",53.614150249838,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med",NA,"inner","outer_perc",NA
"D",24,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","contacts_reached_from_named_med",NA,"reported","outer_perc",NA
"D",24,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA
"B",54.385849750162,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA
"C",53.614150249838,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA
"A",67.0203007518797,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med","no","outer_abs","outer_abs",NA
"BC",108,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","cases_reached_from_test_med",NA,"original","original",1
"BCD",132,"04/04/2020","med","Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual","contacts_reached_from_test_med",NA,"original","original",2
"D",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","contacts_reached_from_named_med","no","overlap_remove","removed_overlap",NA
"C",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med","no","overlap_remove","removed_overlap",NA
"D",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","contacts_reached_from_named_med","no","reported","inner",NA
"C",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med","no","reported","inner",NA
"A",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med",NA,"outer_perc","outer_perc",NA
"B",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med",NA,"outer_perc","outer_perc",NA
"C",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med",NA,"reported","outer_perc",NA
"D",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","contacts_reached_from_named_med",NA,"reported","outer_perc",NA
"D",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA
"C",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med","no","reported","outer_abs",NA
"A",67.0203007518797,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med","no","outer_abs","outer_abs",NA
"B",44.4341017992654,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med","no","outer_abs","outer_abs",NA
"D",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","contacts_reached_from_named_med",NA,"original","original",NA
"ABC",72,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_symptom_med",NA,"original","original",NA
"C",0,"08/17/2020","med","Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual","cases_reached_from_positive_med",NA,"original","original",NA
"B",67.656,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"overlap_remove","removed_overlap",NA
"B",67.656,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"reported","inner",NA
"A",102.046070114196,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"outer_perc","outer_perc",NA
"B",67.656,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"reported","outer_perc",NA
"C",66.6960057802947,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"outer_perc","outer_perc",NA
"D",29.1298775108394,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"outer_perc","outer_perc",NA
"B",67.656,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"reported","outer_abs",NA
"A",67.0203007518797,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"outer_abs","outer_abs",NA
"C",43.8036110684346,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"outer_abs","outer_abs",NA
"D",19.1314878608959,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"outer_abs","outer_abs",NA
"B",72,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"overlap_remove","removed_overlap",NA
"B",72,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"reported","inner",NA
"A",108.598159043132,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"outer_perc","outer_perc",NA
"B",72,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"reported","outer_perc",NA
"C",70.9783672723959,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"outer_perc","outer_perc",NA
"D",31.0002243818794,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"outer_perc","outer_perc",NA
"B",72,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"reported","outer_abs",NA
"A",67.0203007518797,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"outer_abs","outer_abs",NA
"C",43.8036110684346,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"outer_abs","outer_abs",NA
"D",19.1314878608959,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"outer_abs","outer_abs",NA
"B",67.656,"04/15/2020","mean","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_mean",NA,"original","original",NA
"B",72,"04/15/2020","med","A Survey of County Health Departments of Kansas Regarding COVID-19.%%%Kansas%%%manual","cases_positive_from_test_med",NA,"original","original",NA
"D",0,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"overlap_remove","removed_overlap",NA
"D",0,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"reported","inner",NA
"A",0,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"outer_perc","outer_perc",NA
"B",0,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"outer_perc","outer_perc",NA
"C",0,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"outer_perc","outer_perc",NA
"D",0,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"reported","outer_perc",NA
"D",0,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"reported","outer_abs",NA
"A",67.0203007518797,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"outer_abs","outer_abs",NA
"B",44.4341017992654,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"outer_abs","outer_abs",NA
"C",43.8036110684346,"10/01/2020","mean","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_mean",NA,"outer_abs","outer_abs",NA
"B",48,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_positive_from_test_med","no","overlap_remove","removed_overlap",NA
"A",72,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_test_from_sympt_med","no","overlap_remove","removed_overlap",NA
"D",72,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_med","no","overlap_remove","removed_overlap",NA
"C",24,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_reached_from_positive_med","no","overlap_remove","removed_overlap",NA
"B",48,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_positive_from_test_med","no","reported","inner",NA
"A",72,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_test_from_sympt_med","no","reported","inner",NA
"D",72,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","contacts_reached_from_named_med","no","reported","inner",NA
"C",24,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_reached_from_positive_med","no","reported","inner",NA
"A",72,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_test_from_sympt_med",NA,"reported","outer_perc",NA
"B",48,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_positive_from_test_med",NA,"reported","outer_perc",NA
"C",24,"10/01/2020","med","COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.%%%WA%%%manual","cases_reached_from_positive_med",NA,"reported","outer_perc",NA
