"param_name","periods","param_value","pm_start_date","metric","source","hd_summary","impt_type","df_type","pm_location","date","cases_interviewed","contacts_interviewed","digital","comb_loc_date","impt_type_alpha","count","impt_median","impt_count","metric_color","month_year","incl"
"hd_cases_reached_from_positive_mean_median","C",24,2021-11-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-11-01,922639,356020.475912168,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,6090.02494734038,FALSE,"med",2021-11-01,1
"cases_positive_from_test_med","B",24,2021-11-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-11-01,109304.730717735,NA,"manual","(manual) New York, 2021-11-01",0,109304.730717735,6090.02494734038,FALSE,"med",2021-11-01,1
"cases_reached_from_positive_med","C",48,2021-11-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-11-01,109304.730717735,NA,"manual","(manual) New York, 2021-11-01",0,109304.730717735,6090.02494734038,FALSE,"med",2021-11-01,1
"contacts_reached_from_named_med","D",5.76,2021-11-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-11-01,109304.730717735,NA,"manual","(manual) New York, 2021-11-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-11-01,0
"contacts_reached_from_named_med","D",0,2021-11-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","reported","outer_abs","VT",2021-11-01,5063.79839333097,NA,"manual","(manual) VT, 2021-11-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-11-01,0
"cases_reached_from_test_med","B",24.1714887778498,2021-11-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","inner","outer_abs","VT",2021-11-01,5063.79839333097,NA,"manual","(manual) VT, 2021-11-01",0.1,5063.79839333097,6090.02494734038,FALSE,"med",2021-11-01,1
"cases_reached_from_test_med","C",23.8285112221502,2021-11-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","inner","outer_abs","VT",2021-11-01,5063.79839333097,NA,"manual","(manual) VT, 2021-11-01",0.1,5063.79839333097,6090.02494734038,FALSE,"med",2021-11-01,1
"hd_cases_positive_from_test_mean_mean","B",40.8,2021-10-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-10-01,964733,432784.320394768,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,3675.29481015143,FALSE,"mean",2021-10-01,1
"hd_cases_reached_from_positive_mean_mean","C",36,2021-10-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-10-01,964733,432784.320394768,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,3675.29481015143,FALSE,"mean",2021-10-01,1
"hd_cases_positive_from_test_mean_median","B",43.2,2021-10-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-10-01,964733,432784.320394768,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,6090.02494734038,FALSE,"med",2021-10-01,1
"hd_cases_reached_from_positive_mean_median","C",24,2021-10-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-10-01,964733,432784.320394768,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,6090.02494734038,FALSE,"med",2021-10-01,1
"cases_positive_from_test_med","B",24,2021-10-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-10-01,78201.5683478616,NA,"manual","(manual) New York, 2021-10-01",0,78201.5683478616,6090.02494734038,FALSE,"med",2021-10-01,1
"cases_reached_from_positive_med","C",48,2021-10-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-10-01,78201.5683478616,NA,"manual","(manual) New York, 2021-10-01",0,78201.5683478616,6090.02494734038,FALSE,"med",2021-10-01,1
"contacts_reached_from_named_med","D",5.76,2021-10-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-10-01,78201.5683478616,NA,"manual","(manual) New York, 2021-10-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-10-01,0
"contacts_reached_from_named_med","D",4.8,2021-10-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","reported","outer_abs","New York City",2021-10-01,54032.9158582292,44841.200453946,"manual","(manual) New York City, 2021-10-01",0,44841.200453946,5037.19503453868,FALSE,"med",2021-10-01,1
"cases_test_from_sympt_med","A",50.4,2021-10-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","reported","outer_abs","New York City",2021-10-01,54032.9158582292,44841.200453946,"manual","(manual) New York City, 2021-10-01",0,54032.9158582292,6090.02494734038,FALSE,"med",2021-10-01,1
"cases_reached_from_test_med","B",31.4229354112047,2021-10-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","inner","outer_abs","New York City",2021-10-01,54032.9158582292,44841.200453946,"manual","(manual) New York City, 2021-10-01",0.1,54032.9158582292,6090.02494734038,FALSE,"med",2021-10-01,1
"cases_reached_from_test_med","C",30.9770645887953,2021-10-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","inner","outer_abs","New York City",2021-10-01,54032.9158582292,44841.200453946,"manual","(manual) New York City, 2021-10-01",0.1,54032.9158582292,6090.02494734038,FALSE,"med",2021-10-01,1
"cases_reached_from_exposure_mean","A",69.4417068895112,2021-10-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-10-01,2134.33595401118,580.509272040952,"manual","(manual) Philadelphia, 2021-10-01",0.1,2134.33595401118,3675.29481015143,FALSE,"mean",2021-10-01,1
"cases_reached_from_exposure_mean","B",47.6169733494335,2021-10-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-10-01,2134.33595401118,580.509272040952,"manual","(manual) Philadelphia, 2021-10-01",0.1,2134.33595401118,3675.29481015143,FALSE,"mean",2021-10-01,1
"cases_reached_from_exposure_mean","C",46.9413197610553,2021-10-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-10-01,2134.33595401118,580.509272040952,"manual","(manual) Philadelphia, 2021-10-01",0.1,2134.33595401118,3675.29481015143,FALSE,"mean",2021-10-01,1
"contacts_reached_from_named_med","D",24,2021-10-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","reported","outer_abs","Philadelphia",2021-10-01,2134.33595401118,580.509272040952,"manual","(manual) Philadelphia, 2021-10-01",0,580.509272040952,5037.19503453868,FALSE,"med",2021-10-01,1
"cases_reached_from_test_med","B",24.1714887778498,2021-10-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-10-01,2134.33595401118,580.509272040952,"manual","(manual) Philadelphia, 2021-10-01",0.1,2134.33595401118,6090.02494734038,FALSE,"med",2021-10-01,1
"cases_reached_from_test_med","C",23.8285112221502,2021-10-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-10-01,2134.33595401118,580.509272040952,"manual","(manual) Philadelphia, 2021-10-01",0.1,2134.33595401118,6090.02494734038,FALSE,"med",2021-10-01,1
"contacts_reached_from_named_med","D",0,2021-10-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","reported","outer_abs","VT",2021-10-01,5186.5571422602,NA,"manual","(manual) VT, 2021-10-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-10-01,0
"cases_reached_from_test_med","B",24.1714887778498,2021-10-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","inner","outer_abs","VT",2021-10-01,5186.5571422602,NA,"manual","(manual) VT, 2021-10-01",0.1,5186.5571422602,6090.02494734038,FALSE,"med",2021-10-01,1
"cases_reached_from_test_med","C",23.8285112221502,2021-10-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","inner","outer_abs","VT",2021-10-01,5186.5571422602,NA,"manual","(manual) VT, 2021-10-01",0.1,5186.5571422602,6090.02494734038,FALSE,"med",2021-10-01,1
"hd_cases_positive_from_test_mean_mean","B",40.8,2021-09-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-09-01,1318087,599157.317029699,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,3675.29481015143,FALSE,"mean",2021-09-01,1
"hd_cases_reached_from_positive_mean_mean","C",40.8,2021-09-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-09-01,1318087,599157.317029699,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,3675.29481015143,FALSE,"mean",2021-09-01,1
"hd_cases_positive_from_test_mean_median","B",48,2021-09-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-09-01,1318087,599157.317029699,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,6090.02494734038,FALSE,"med",2021-09-01,1
"hd_cases_reached_from_positive_mean_median","C",24,2021-09-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-09-01,1318087,599157.317029699,"manual","(manual) 64 HD accross US and collonies, 2021-09-01",0,1318087,6090.02494734038,FALSE,"med",2021-09-01,1
"cases_positive_from_test_med","B",24,2021-09-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-09-01,79186.0692216413,NA,"manual","(manual) New York, 2021-09-01",0,79186.0692216413,6090.02494734038,FALSE,"med",2021-09-01,1
"cases_reached_from_positive_med","C",48,2021-09-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-09-01,79186.0692216413,NA,"manual","(manual) New York, 2021-09-01",0,79186.0692216413,6090.02494734038,FALSE,"med",2021-09-01,1
"contacts_reached_from_named_med","D",5.76,2021-09-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-09-01,79186.0692216413,NA,"manual","(manual) New York, 2021-09-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-09-01,0
"contacts_reached_from_named_med","D",4.8,2021-09-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","reported","outer_abs","New York City",2021-09-01,54713.1509737024,45405.7185571107,"manual","(manual) New York City, 2021-09-01",0,45405.7185571107,5037.19503453868,FALSE,"med",2021-09-01,1
"cases_test_from_sympt_med","A",50.4,2021-09-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","reported","outer_abs","New York City",2021-09-01,54713.1509737024,45405.7185571107,"manual","(manual) New York City, 2021-09-01",0,54713.1509737024,6090.02494734038,FALSE,"med",2021-09-01,1
"cases_reached_from_test_med","B",31.4229354112047,2021-09-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","inner","outer_abs","New York City",2021-09-01,54713.1509737024,45405.7185571107,"manual","(manual) New York City, 2021-09-01",0.1,54713.1509737024,6090.02494734038,FALSE,"med",2021-09-01,1
"cases_reached_from_test_med","C",30.9770645887953,2021-09-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","inner","outer_abs","New York City",2021-09-01,54713.1509737024,45405.7185571107,"manual","(manual) New York City, 2021-09-01",0.1,54713.1509737024,6090.02494734038,FALSE,"med",2021-09-01,1
"cases_reached_from_exposure_mean","A",69.4417068895112,2021-09-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-09-01,2402.66404598882,653.490727959048,"manual","(manual) Philadelphia, 2021-09-01",0.1,2402.66404598882,3675.29481015143,FALSE,"mean",2021-09-01,1
"cases_reached_from_exposure_mean","B",47.6169733494335,2021-09-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-09-01,2402.66404598882,653.490727959048,"manual","(manual) Philadelphia, 2021-09-01",0.1,2402.66404598882,3675.29481015143,FALSE,"mean",2021-09-01,1
"cases_reached_from_exposure_mean","C",46.9413197610553,2021-09-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-09-01,2402.66404598882,653.490727959048,"manual","(manual) Philadelphia, 2021-09-01",0.1,2402.66404598882,3675.29481015143,FALSE,"mean",2021-09-01,1
"contacts_reached_from_named_med","D",24,2021-09-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","reported","outer_abs","Philadelphia",2021-09-01,2402.66404598882,653.490727959048,"manual","(manual) Philadelphia, 2021-09-01",0,653.490727959048,5037.19503453868,FALSE,"med",2021-09-01,1
"cases_reached_from_test_med","B",24.1714887778498,2021-09-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-09-01,2402.66404598882,653.490727959048,"manual","(manual) Philadelphia, 2021-09-01",0.1,2402.66404598882,6090.02494734038,FALSE,"med",2021-09-01,1
"cases_reached_from_test_med","C",23.8285112221502,2021-09-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-09-01,2402.66404598882,653.490727959048,"manual","(manual) Philadelphia, 2021-09-01",0.1,2402.66404598882,6090.02494734038,FALSE,"med",2021-09-01,1
"contacts_reached_from_named_med","D",12,2021-09-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","reported","outer_abs","VT",2021-09-01,4671.9210749181,NA,"manual","(manual) VT, 2021-09-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-09-01,0
"cases_reached_from_test_med","B",30.2143609723122,2021-09-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","inner","outer_abs","VT",2021-09-01,4671.9210749181,NA,"manual","(manual) VT, 2021-09-01",0.1,4671.9210749181,6090.02494734038,FALSE,"med",2021-09-01,1
"cases_reached_from_test_med","C",29.7856390276878,2021-09-01,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","no","inner","outer_abs","VT",2021-09-01,4671.9210749181,NA,"manual","(manual) VT, 2021-09-01",0.1,4671.9210749181,6090.02494734038,FALSE,"med",2021-09-01,1
"hd_cases_positive_from_test_mean_mean","B",38.4,2021-08-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-08-01,1265108,525501.358113477,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,3675.29481015143,FALSE,"mean",2021-08-01,1
"hd_cases_reached_from_positive_mean_mean","C",40.8,2021-08-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-08-01,1265108,525501.358113477,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,3675.29481015143,FALSE,"mean",2021-08-01,1
"hd_cases_positive_from_test_mean_median","B",24,2021-08-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-08-01,1265108,525501.358113477,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,6090.02494734038,FALSE,"med",2021-08-01,1
"hd_cases_reached_from_positive_mean_median","C",24,2021-08-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-08-01,1265108,525501.358113477,"manual","(manual) 64 HD accross US and collonies, 2021-08-01",0,1265108,6090.02494734038,FALSE,"med",2021-08-01,1
"cases_positive_from_test_med","B",24,2021-08-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-08-01,56968.7800912389,NA,"manual","(manual) New York, 2021-08-01",0,56968.7800912389,6090.02494734038,FALSE,"med",2021-08-01,1
"cases_reached_from_positive_med","C",48,2021-08-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-08-01,56968.7800912389,NA,"manual","(manual) New York, 2021-08-01",0,56968.7800912389,6090.02494734038,FALSE,"med",2021-08-01,1
"contacts_reached_from_named_med","D",5.76,2021-08-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-08-01,56968.7800912389,NA,"manual","(manual) New York, 2021-08-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-08-01,0
"contacts_reached_from_named_med","D",4.8,2021-08-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","reported","outer_abs","New York City",2021-08-01,39362.2451089889,32666.2053160455,"manual","(manual) New York City, 2021-08-01",0,32666.2053160455,5037.19503453868,FALSE,"med",2021-08-01,1
"cases_test_from_sympt_med","A",50.4,2021-08-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","reported","outer_abs","New York City",2021-08-01,39362.2451089889,32666.2053160455,"manual","(manual) New York City, 2021-08-01",0,39362.2451089889,6090.02494734038,FALSE,"med",2021-08-01,1
"cases_reached_from_test_med","B",31.4229354112047,2021-08-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","inner","outer_abs","New York City",2021-08-01,39362.2451089889,32666.2053160455,"manual","(manual) New York City, 2021-08-01",0.1,39362.2451089889,6090.02494734038,FALSE,"med",2021-08-01,1
"cases_reached_from_test_med","C",30.9770645887953,2021-08-01,"med","COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.%%%New York City%%%manual","no","inner","outer_abs","New York City",2021-08-01,39362.2451089889,32666.2053160455,"manual","(manual) New York City, 2021-08-01",0.1,39362.2451089889,6090.02494734038,FALSE,"med",2021-08-01,1
"cases_reached_from_exposure_mean","A",81.2976080657692,2021-08-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-08-01,2053.36607791256,571.602221562672,"manual","(manual) Philadelphia, 2021-08-01",0.1,2053.36607791256,3675.29481015143,FALSE,"mean",2021-08-01,1
"cases_reached_from_exposure_mean","B",55.7467005066538,2021-08-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-08-01,2053.36607791256,571.602221562672,"manual","(manual) Philadelphia, 2021-08-01",0.1,2053.36607791256,3675.29481015143,FALSE,"mean",2021-08-01,1
"cases_reached_from_exposure_mean","C",54.9556914275769,2021-08-01,"mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-08-01,2053.36607791256,571.602221562672,"manual","(manual) Philadelphia, 2021-08-01",0.1,2053.36607791256,3675.29481015143,FALSE,"mean",2021-08-01,1
"contacts_reached_from_named_med","D",24,2021-08-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","reported","outer_abs","Philadelphia",2021-08-01,2053.36607791256,571.602221562672,"manual","(manual) Philadelphia, 2021-08-01",0,571.602221562672,5037.19503453868,FALSE,"med",2021-08-01,1
"cases_reached_from_test_med","B",36.2572331667746,2021-08-01,"med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","no","inner","outer_abs","Philadelphia",2021-08-01,2053.36607791256,571.602221562672,"manual","(manual) Philadelphia, 2021-08-01",0.1,2053.36607791256,6090.02494734038,FALSE,"med",2021-08-01,1
